year,session type,session title,sub unit,chair name,chair aff
2014,Interactive Paper Session,"Extended Session: Communication Law, Policy, and the ""Good Life""",Communication Law & Policy,,
2014,Interactive Paper Session,Cognitive Resource Allocation,Information Systems,Paul David Bolls,U of Missouri
2014,Interactive Paper Session,GIFTS: Great Ideas for Teaching Students,Instructional & Developmental Communication,Aaron R. Boyson,U of Minnesota - Duluth
2014,Interactive Paper Session,Theories and Models of Communication Processes,Information Systems,Zheng Joyce Wang,The Ohio State University
2014,Interactive Paper Session,Psychological Processes Underlying Mediated Entertainment,Information Systems,Francesca Renee Dillman Carpentier,U of North Carolina - Chapel Hill
2014,Interactive Paper Session,"Analyses of Stereotypes, Gender Roles, and Expectancy Violations in Media",Information Systems,Michael David Hazen,Wake Forest U
2014,Interactive Paper Session,Online Media I: Analyses of Communication Processes,Information Systems,Sriram Kalyanaraman,U of North Carolina
2014,Interactive Paper Session,Advances in Measurement and Methodology,Information Systems,Emily Falk,University of Pennsylvania
2014,Interactive Paper Session,Analyses of Content and Structural Features of Messages,Information Systems,Robert F. Potter,Indiana University
2014,Interactive Paper Session,"Persuasion, Compliance, and Attitude Change",Information Systems,Lelia Samson,Nanyang Technological University
2014,Interactive Paper Session,Feminist Scholarship Interactive Poster Session,In Event: International Communication Association Annual Awards and Presidential Address,,
2014,Interactive Paper Session,Interpersonal Communication Interactive Poster Session,In Event: International Communication Association Annual Awards and Presidential Address,,
2014,Interactive Paper Session,ICA Plenary Interactive Paper/Poster Session and Reception,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,"Children, Adolescents, and the Media Interactive Poster Session",In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Communication History Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Communication Law and Policy Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Communication and Technology Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Environmental Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Ethnicity and Race in Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Game Studies Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,"Gay, Lesbian, Bisexual and Transgender Studies Interactive Paper Session",In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Global Communication and Social Change Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Health Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Information Systems Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Instructional and Developmental Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Intercultural Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Intergroup Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Journalism Studies Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,"Language and Social Interaction Interactive Paper Session: Constructing Controversy, Help, and Play",In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Mass Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Organizational Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,"Philosophy, Theory and Critique Interactive Poster Session",In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Political Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Popular Communication Interactive Paper Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Public Relations Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Interactive Paper Session on the Conference Theme,In Event: ICA Plenary Interactive Paper/Poster Session and Reception,,
2014,Interactive Paper Session,Processes Underlying The Communication of Science and Health Information,Information Systems,Saleem Elias Alhabash,Michigan State U
2014,Interactive Paper Session,"Analyses of Gaming, Mobile Devices, and Technology",Information Systems,Kristine L. Nowak,U of Connecticut
2014,Interactive Paper Session,Online Media II: Analyses of Communication Networks,Information Systems,Charles T. Salmon,Nanyang Technological U - School of Communication and Information
2014,Interactive Paper Session,Psychological Processes Underlying Consumption of Narrative and Music,Information Systems,Tino GK Meitz,University of Tuebingen
2014,Interactive Paper Session,Psychological Processes Underlying Health Communication,Information Systems,Ashley Sanders-Jackson,Stanford Prevention Research Center
2014,Interactive Paper Session,Analyses of Advertising Cues,Information Systems,Kevin Wise,U of Illinois
2015,Interactive Paper Session,"Social Cognition, Comparison, and Influence",Information Systems,Tamara Makana Chock,Syracuse U
2015,Interactive Paper Session,ICA Plenary Interactive Paper/Poster Session I,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2015,Interactive Paper Session,Communication History Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2015,Interactive Paper Session,Ethnicity and Race in Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2015,Interactive Paper Session,Feminist Scholarship Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2015,Interactive Paper Session,Journalism Studies Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2015,Interactive Paper Session,"Lesbian, Gay, Bisexual, Transgender, and Queer Studies Interactive Paper Session",In Event: ICA Plenary Interactive Paper/Poster Session I,,
2015,Interactive Paper Session,"Philosophy, Theory, and Critique Interactive Poster Session",In Event: ICA Plenary Interactive Paper/Poster Session I,,
2015,Interactive Paper Session,Political Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2015,Interactive Paper Session,Popular Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2015,Interactive Paper Session,Visual Communication Studies Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2015,Interactive Paper Session,Persuasion I: Strategies,Information Systems,Amy Shirong Lu,Northeastern U
2015,Interactive Paper Session,Research Exploring Individual Differences,Information Systems,Tino GK Meitz,University of Tuebingen
2015,Interactive Paper Session,Persuasion II: Message Features,Information Systems,Bartosz Wojtek Wojdynski,U of Georgia
2015,Interactive Paper Session,Processes Underlying Communication Technology Use,Information Systems,James D. Ivory,Virginia Tech
2015,Interactive Paper Session,Processes Underlying Advertising and Consumer Behavior,Information Systems,Yeuseung Kim,DePaul University
2015,Interactive Paper Session,Multitasking and Selective Attention,Information Systems,Zheng Joyce Wang,The Ohio State University
2015,Interactive Paper Session,Computer-Mediated Communication,Information Systems,Jessica Gall Myrick,Indiana U
2015,Interactive Paper Session,ICA Plenary Interactive Paper/Poster Session II,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2015,Interactive Paper Session,Communication and Technology Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2015,Interactive Paper Session,Environmental Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2015,Interactive Paper Session,Global Communication and Social Change Interactive Paper Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2015,Interactive Paper Session,Interactive Papers in Intergroup Communication,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2015,Interactive Paper Session,Interpersonal Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2015,Interactive Paper Session,Language and Social Interaction Interactive Paper Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2015,Interactive Paper Session,Organizational Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2015,Interactive Paper Session,CAT Interactive Papers #1,Communication and Technology,Peng Hwa Ang,Nanyang Technological U
2015,Interactive Paper Session,"Attention, Cognition, and Embodiment",Information Systems,Kristine L. Nowak,University of Connecticut
2015,Interactive Paper Session,CAT Interactive Papers #2,Communication and Technology,Leah A. Lievrouw,U of California - Los Angeles
2015,Interactive Paper Session,ICA Plenary Interactive Paper/Poster Session III,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2015,Interactive Paper Session,"Children, Adolescents, and the Media Interactive Poster Session",In Event: ICA Plenary Interactive Paper/Poster Session III,,
2015,Interactive Paper Session,Game Studies Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2015,Interactive Paper Session,Health Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2015,Interactive Paper Session,Information Systems Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2015,Interactive Paper Session,Instructional and Developmental Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2015,Interactive Paper Session,Mass Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2015,Interactive Paper Session,Lifespan Communication Theme Interactive Paper Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2015,Interactive Paper Session,Emotion,Information Systems,Narine S. Yegiyan,U of California - Davis
2015,Interactive Paper Session,CAT Interactive Papers #3,Communication and Technology,Marjolijn L. Antheunis,Tilburg University
2015,Interactive Paper Session,CAT Interactive Papers #4,Communication and Technology,Lee Humphreys,Cornell University
2015,Interactive Paper Session,Commercial Aspects of Communication and Technology,Communication and Technology,Agnes Lucy Lando PhD,Daystar University
2015,Interactive Paper Session,Narrative and Media Entertainment,Information Systems,Brandon Harley Nutting,U of South Dakota
2015,Interactive Paper Session,Methodological and Theoretical Advances,Information Systems,James M. Honeycutt,Louisiana State University
2015,Interactive Paper Session,Motivation,Information Systems,Josephine Schmitt,University of Hohenheim
2015,Interactive Paper Session,Studies of Message Properties,Information Systems,Elisabeth Bigsby,U of Illinois
2016,Interactive Paper Session,Important Media and Message Features,Information Systems,Byungho Park,KAIST
2016,Interactive Paper Session,The Role of Emotion in Information Processing,Information Systems,Roselyn J. Lee-Won,School of Communication
2016,Interactive Paper Session,"Bias, Intentionality, Judgment, and Decision Making",Information Systems,Nancy Rhodes,Michigan State University
2016,Interactive Paper Session,ICA Plenary Interactive Paper/Poster Session I,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2016,Interactive Paper Session,Communication and Technology Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2016,Interactive Paper Session,Global Communication and Social Change Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2016,Interactive Paper Session,Intercultural Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2016,Interactive Paper Session,Intergroup Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2016,Interactive Paper Session,Interpersonal Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2016,Interactive Paper Session,Language and Social Interaction Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2016,Interactive Paper Session,Mobile Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2016,Interactive Paper Session,Organizational Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2016,Interactive Paper Session,Public Relations Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session I,,
2016,Interactive Paper Session,Message Processing and Effects,Information Systems,Saleem Elias Alhabash,Michigan State U
2016,Interactive Paper Session,Advances in Audience Research,Information Systems,Rachel L. Bailey,Washington State University
2016,Interactive Paper Session,To Understand Communication and Social Networks,Information Systems,Chen-Chao Tao,National Chiao Tung U
2016,Interactive Paper Session,Motivated Cognition and Behavior,Information Systems,Jennifer Rose Talevich,PhD
2016,Interactive Paper Session,Advertising and Branding,Information Systems,Jacqueline Hitchon,University of Illinois
2016,Interactive Paper Session,Psychophysiological and Neuroscientific Perspectives in Communication,Information Systems,Satoko Kurita,Mie University
2016,Interactive Paper Session,ICA Plenary Interactive Paper/Poster Session II,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2016,Interactive Paper Session,"Children, Adolescents, and the Media Interactive Poster Session",In Event: ICA Plenary Interactive Paper/Poster Session II,,
2016,Interactive Paper Session,Environmental Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2016,Interactive Paper Session,Game Studies Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2016,Interactive Paper Session,Health Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2016,Interactive Paper Session,Information Systems Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2016,Interactive Paper Session,Instructional and Developmental Communication Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2016,Interactive Paper Session,"Lesbian, Gay, Bisexual, Transgender, & Queer Studies Interactive Poster Session",In Event: ICA Plenary Interactive Paper/Poster Session II,,
2016,Interactive Paper Session,Mass Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2016,Interactive Paper Session,Sports Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session II,,
2016,Interactive Paper Session,New Opportunities Offered by Media Technologies,Information Systems,Brian Christopher Britt,South Dakota State University
2016,Interactive Paper Session,Processing Social Information,Information Systems,Benjamin K. Johnson,Vrije Universiteit Amsterdam
2016,Interactive Paper Session,Online Communities and Media Technologies,Information Systems,Anika Batenburg,Radboud University
2016,Interactive Paper Session,ICA Plenary Interactive Paper/Poster Session III,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2016,Interactive Paper Session,Communication History Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2016,Interactive Paper Session,Communication Law and Policy Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2016,Interactive Paper Session,Ethnicity and Race in Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2016,Interactive Paper Session,Feminist Scholarship Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2016,Interactive Paper Session,Journalism Studies Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2016,Interactive Paper Session,Media Industry Studies Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2016,Interactive Paper Session,"Philosophy, Theory, and Critique Interactive Poster Session",In Event: ICA Plenary Interactive Paper/Poster Session III,,
2016,Interactive Paper Session,Political Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2016,Interactive Paper Session,Popular Communication Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2016,Interactive Paper Session,Visual Communication Studies Interactive Poster Session,In Event: ICA Plenary Interactive Paper/Poster Session III,,
2016,Interactive Paper Session,"Cognition, Attitude, and Persuasion",Information Systems,Janet R. Meyer,Kent State U
2016,Interactive Paper Session,Risk Information and Risk Behaviors,Information Systems,Celine Klemm,Vrije Universiteit Amsterdam
2016,Interactive Paper Session,Processing Political and News Information in an Age of Entertainment and Overload,Information Systems,Stephanie Edgerly,Northwestern University
2016,Interactive Paper Session,Emerging Problems Associated With Media Use,Information Systems,Matthias R. Hastall,TU Dortmund U
2016,Interactive Paper Session,Innovative Approaches and New Measures,Information Systems,Petro Tolochko,University of Vienna
2016,Interactive Paper Session,Attention and Divided Attention,Information Systems,Richard Wayne Huskey,The Ohio State University
2016,Interactive Paper Session,"Processing Stories, Films, and Music",Information Systems,Allison Zorzie Shaw,University at Buffalo-SUNY
2016,Interactive Paper Session,Narrative Processing,Information Systems,Elizabeth L. Cohen,West Virginia University
2017,Interactive Paper Session,Making & Doing Exhibition,Making & Doing,,
2017,Interactive Paper Session,CAT Interactive Paper Session 5,Communication and Technology,Daniel Angus,University of Queensland
2017,Interactive Paper Session,ICA Interactive Paper/Poster Session I,In Event: ICA Interactive paper/Poster Session I,,
2017,Interactive Paper Session,"Children, Adolescents, & the Media Interactive Poster Session",In Event: ICA Interactive paper/Poster Session I,,
2017,Interactive Paper Session,Computational Methods Interactive Poster Session,In Event: ICA Interactive paper/Poster Session I,,
2017,Interactive Paper Session,Environmental Communication Interactive Poster Session,In Event: ICA Interactive paper/Poster Session I,,
2017,Interactive Paper Session,Game Studies Interactive Poster Session,In Event: ICA Interactive paper/Poster Session I,,
2017,Interactive Paper Session,Health Communication Interactive Poster Session,In Event: ICA Interactive paper/Poster Session I,,
2017,Interactive Paper Session,Information Systems Interactive Poster Session,In Event: ICA Interactive paper/Poster Session I,,
2017,Interactive Paper Session,Mass Communication Interactive Poster Session,In Event: ICA Interactive paper/Poster Session I,,
2017,Interactive Paper Session,Sports Communication Interactive Poster Session,In Event: ICA Interactive paper/Poster Session I,,
2017,Interactive Paper Session,Theme Interactive Poster Session: Interventions,In Event: ICA Interactive paper/Poster Session I,,
2017,Interactive Paper Session,GIFTS: Great Ideas for Teaching Students,Instructional & Developmental Communication,Stephanie Kelly,North Carolina A&T State U
2017,Interactive Paper Session,Social Brains: Neuroscientific Investigations on Social Influence Processes (High-Density),Communication Science and Biology,Rene Weber,U of California - Santa Barbara
2017,Interactive Paper Session,"Dating, Mating, and Hating: Evolutionary Approaches to Communication Science (High-Density)",Communication Science and Biology,Allison Eden,Michigan State U
2017,Interactive Paper Session,ICA Interactive Paper/Poster Session II,In Event: ICA Interactive Paper/Poster Session II,,
2017,Interactive Paper Session,Communication History Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2017,Interactive Paper Session,Communication Law and Policy Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2017,Interactive Paper Session,Ethnicity and Race in Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2017,Interactive Paper Session,Feminist Scholarship Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2017,Interactive Paper Session,Journalism Studies Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2017,Interactive Paper Session,Media Industry Studies Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2017,Interactive Paper Session,"Philosophy, Theory, and Critique Interactive Poster Session",In Event: ICA Interactive Paper/Poster Session II,,
2017,Interactive Paper Session,Political Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2017,Interactive Paper Session,Popular Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2017,Interactive Paper Session,Public Diplomacy Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2017,Interactive Paper Session,CAT Interactive Paper Session 6,Communication and Technology,Benjamin K. Johnson,Vrije U Amsterdam
2017,Interactive Paper Session,ICA Interactive Paper/Poster Session III,In Event: ICA Interactive Paper/Poster Session III,,
2017,Interactive Paper Session,Communication and Technology Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2017,Interactive Paper Session,Communication Science and Biology Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2017,Interactive Paper Session,Global Communication and Social Change Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2017,Interactive Paper Session,Intercultural Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2017,Interactive Paper Session,Intergroup Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2017,Interactive Paper Session,Interpersonal Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2017,Interactive Paper Session,Language & Social Interaction Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2017,Interactive Paper Session,LGBTQ Studies Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2017,Interactive Paper Session,Mobile Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2017,Interactive Paper Session,Organizational Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2017,Interactive Paper Session,Public Relations Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2017,Interactive Paper Session,Visual Communication Studies Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2017,Interactive Paper Session,Your Brain on Health Communication: Applications of Communication Science in Health and Education (HIGH DENSITY),Communication Science and Biology,Jason C. Coronel,The Ohio State U
2017,Interactive Paper Session,"The Bigger Picture of Mobile Communication: Space, Time, and Art",Mobile Communication,Katy Elizabeth Pearce,U of Washington
2017,Interactive Paper Session,Innovations in Communication Science and Biology: Methodological and Theoretical Advancements (High-Density),Communication Science and Biology,Emily Falk,U of Pennsylvania
2017,Interactive Paper Session,Interpersonally Communicating About Sexuality,Interpersonal Communication,Jimmie Manning,CSCA - Central States Communication Association
2017,Interactive Paper Session,"Rules, Norms, and Expectations for Mobile Communication Practices",Mobile Communication,Jason A. Martin,DePaul U
2017,Interactive Paper Session,"Effects of Mobile Communication on Business, Life, and Society",Mobile Communication,Scott W. Campbell,U of Michigan
2018,Interactive Paper Session,ICA Interactive Paper/Poster Session I,In Event: ICA Interactive Paper/Poster Session I,,
2018,Interactive Paper Session,"Activism, Communication and Social Justice Interactive Poster Session",In Event: ICA Interactive Paper/Poster Session I,,
2018,Interactive Paper Session,"Children, Adolescents and the Media Interactive Poster Session",In Event: ICA Interactive Paper/Poster Session I,,
2018,Interactive Paper Session,Computational Methods Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
2018,Interactive Paper Session,Environmental Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
2018,Interactive Paper Session,Game Studies Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
2018,Interactive Paper Session,Public Relations Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
2018,Interactive Paper Session,Intergroup Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
2018,Interactive Paper Session,Instructional and Developmental Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
2018,Interactive Paper Session,Information Systems Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
2018,Interactive Paper Session,Mass Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
2018,Interactive Paper Session,Theme Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
2018,Interactive Paper Session,Organizational Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session I,,
2018,Interactive Paper Session,ICA Interactive Paper/Poster Session II,In Event: ICA Interactive Paper/Poster Session II,,
2018,Interactive Paper Session,Communication History Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2018,Interactive Paper Session,Communication Law and Policy Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2018,Interactive Paper Session,Ethnicity and Race in Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2018,Interactive Paper Session,Feminist Scholarship Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2018,Interactive Paper Session,Health Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2018,Interactive Paper Session,Media Industry Studies Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2018,Interactive Paper Session,"Philosophy, Theory and Critique Interactive Poster Session",In Event: ICA Interactive Paper/Poster Session II,,
2018,Interactive Paper Session,Political Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2018,Interactive Paper Session,Popular Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2018,Interactive Paper Session,Public Diplomacy Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session II,,
2018,Interactive Paper Session,ICA Interactive Paper/Poster Session III,In Event: ICA Interactive Paper/Poster Session III,,
2018,Interactive Paper Session,Communication and Technology Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2018,Interactive Paper Session,Communication Science and Biology Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2018,Interactive Paper Session,Global Communication and Social Change Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2018,Interactive Paper Session,Intercultural Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2018,Interactive Paper Session,Interpersonal Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2018,Interactive Paper Session,Journalism Studies Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2018,Interactive Paper Session,Language and Social Interaction Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2018,Interactive Paper Session,"Lesbian, Gay, Bisexual, Transgender, and Queer Studies Interactive Poster Session",In Event: ICA Interactive Paper/Poster Session III,,
2018,Interactive Paper Session,Mobile Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2018,Interactive Paper Session,Visual Communication Studies Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
2018,Interactive Paper Session,Sports Communication Interactive Poster Session,In Event: ICA Interactive Paper/Poster Session III,,
